car_ID,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,CarCompany
1,3,0,0,0,0,0,0,88.6,168.8,64.1,48.8,2548,0,0,130,0,3.47,2.68,9.0,111,5000,21,27,13495.0,0
2,3,0,0,0,0,0,0,88.6,168.8,64.1,48.8,2548,0,0,130,0,3.47,2.68,9.0,111,5000,21,27,16500.0,0
3,1,0,0,0,1,0,0,94.5,171.2,65.5,52.4,2823,1,1,152,0,2.68,3.47,9.0,154,5000,19,26,16500.0,0
4,2,0,0,1,2,1,0,99.8,176.6,66.2,54.3,2337,2,0,109,0,3.19,3.4,10.0,102,5500,24,30,13950.0,1
5,2,0,0,1,2,2,0,99.4,176.6,66.4,54.3,2824,2,2,136,0,3.19,3.4,8.0,115,5500,18,22,17450.0,1
6,2,0,0,0,2,1,0,99.8,177.3,66.3,53.1,2507,2,2,136,0,3.19,3.4,8.5,110,5500,19,25,15250.0,1
7,1,0,0,1,2,1,0,105.8,192.7,71.4,55.7,2844,2,2,136,0,3.19,3.4,8.5,110,5500,19,25,17710.0,1
8,1,0,0,1,3,1,0,105.8,192.7,71.4,55.7,2954,2,2,136,0,3.19,3.4,8.5,110,5500,19,25,18920.0,1
9,1,0,1,1,2,1,0,105.8,192.7,71.4,55.9,3086,2,2,131,0,3.13,3.4,8.3,140,5500,17,20,23875.0,1
10,0,0,1,0,1,2,0,99.5,178.2,67.9,52.0,3053,2,2,131,0,3.13,3.4,7.0,160,5500,16,22,17859.167,1
11,2,0,0,0,2,0,0,101.2,176.8,64.8,54.3,2395,2,0,108,0,3.5,2.8,8.8,101,5800,23,29,16430.0,2
12,0,0,0,1,2,0,0,101.2,176.8,64.8,54.3,2395,2,0,108,0,3.5,2.8,8.8,101,5800,23,29,16925.0,2
13,0,0,0,0,2,0,0,101.2,176.8,64.8,54.3,2710,2,1,164,0,3.31,3.19,9.0,121,4250,21,28,20970.0,2
14,0,0,0,1,2,0,0,101.2,176.8,64.8,54.3,2765,2,1,164,0,3.31,3.19,9.0,121,4250,21,28,21105.0,2
15,1,0,0,1,2,0,0,103.5,189.0,66.9,55.7,3055,2,1,164,0,3.31,3.19,9.0,121,4250,20,25,24565.0,2
16,0,0,0,1,2,0,0,103.5,189.0,66.9,55.7,3230,2,1,209,0,3.62,3.39,8.0,182,5400,16,22,30760.0,2
17,0,0,0,0,2,0,0,103.5,193.8,67.9,53.7,3380,2,1,209,0,3.62,3.39,8.0,182,5400,16,22,41315.0,2
18,0,0,0,1,2,0,0,110.0,197.0,70.9,56.3,3505,2,1,209,0,3.62,3.39,8.0,182,5400,15,20,36880.0,2
19,2,0,0,0,1,1,0,88.4,141.1,60.3,53.2,1488,3,3,61,1,2.91,3.03,9.5,48,5100,47,53,5151.0,3
20,1,0,0,0,1,1,0,94.5,155.9,63.6,52.0,1874,2,0,90,1,3.03,3.11,9.6,70,5400,38,43,6295.0,3
21,0,0,0,1,2,1,0,94.5,158.8,63.6,52.0,1909,2,0,90,1,3.03,3.11,9.6,70,5400,38,43,6575.0,3
22,1,0,0,0,1,1,0,93.7,157.3,63.8,50.8,1876,2,0,90,1,2.97,3.23,9.41,68,5500,37,41,5572.0,4
23,1,0,0,0,1,1,0,93.7,157.3,63.8,50.8,1876,2,0,90,1,2.97,3.23,9.4,68,5500,31,38,6377.0,4
24,1,0,1,0,1,1,0,93.7,157.3,63.8,50.8,2128,2,0,98,0,3.03,3.39,7.6,102,5500,24,30,7957.0,4
25,1,0,0,1,1,1,0,93.7,157.3,63.8,50.6,1967,2,0,90,1,2.97,3.23,9.4,68,5500,31,38,6229.0,4
26,1,0,0,1,2,1,0,93.7,157.3,63.8,50.6,1989,2,0,90,1,2.97,3.23,9.4,68,5500,31,38,6692.0,4
27,1,0,0,1,2,1,0,93.7,157.3,63.8,50.6,1989,2,0,90,1,2.97,3.23,9.4,68,5500,31,38,7609.0,4
28,1,0,1,0,2,1,0,93.7,157.3,63.8,50.6,2191,2,0,98,0,3.03,3.39,7.6,102,5500,24,30,8558.0,4
29,-1,0,0,1,3,1,0,103.3,174.6,64.6,59.8,2535,2,0,122,1,3.34,3.46,8.5,88,5000,24,30,8921.0,4
30,3,0,1,0,1,1,0,95.9,173.2,66.3,50.2,2811,2,0,156,2,3.6,3.9,7.0,145,5000,19,24,12964.0,4
31,2,0,0,0,1,1,0,86.6,144.6,63.9,50.8,1713,2,0,92,3,2.91,3.41,9.6,58,4800,49,54,6479.0,5
32,2,0,0,0,1,1,0,86.6,144.6,63.9,50.8,1819,2,0,92,3,2.91,3.41,9.2,76,6000,31,38,6855.0,5
33,1,0,0,0,1,1,0,93.7,150.0,64.0,52.6,1837,2,0,79,3,2.91,3.07,10.1,60,5500,38,42,5399.0,5
34,1,0,0,0,1,1,0,93.7,150.0,64.0,52.6,1940,2,0,92,3,2.91,3.41,9.2,76,6000,30,34,6529.0,5
35,1,0,0,0,1,1,0,93.7,150.0,64.0,52.6,1956,2,0,92,3,2.91,3.41,9.2,76,6000,30,34,7129.0,5
36,0,0,0,1,2,1,0,96.5,163.4,64.0,54.5,2010,2,0,92,3,2.91,3.41,9.2,76,6000,30,34,7295.0,5
37,0,0,0,1,3,1,0,96.5,157.1,63.9,58.3,2024,2,0,92,3,2.92,3.41,9.2,76,6000,30,34,7295.0,5
38,0,0,0,0,1,1,0,96.5,167.5,65.2,53.3,2236,2,0,110,3,3.15,3.58,9.0,86,5800,27,33,7895.0,5
39,0,0,0,0,1,1,0,96.5,167.5,65.2,53.3,2289,2,0,110,3,3.15,3.58,9.0,86,5800,27,33,9095.0,5
40,0,0,0,1,2,1,0,96.5,175.4,65.2,54.1,2304,2,0,110,3,3.15,3.58,9.0,86,5800,27,33,8845.0,5
41,0,0,0,1,2,1,0,96.5,175.4,62.5,54.1,2372,2,0,110,3,3.15,3.58,9.0,86,5800,27,33,10295.0,5
42,0,0,0,1,2,1,0,96.5,175.4,65.2,54.1,2465,2,0,110,0,3.15,3.58,9.0,101,5800,24,28,12945.0,5
43,1,0,0,0,2,1,0,96.5,169.1,66.0,51.0,2293,2,0,110,1,3.15,3.58,9.1,100,5500,25,31,10345.0,5
44,0,0,0,1,2,0,0,94.3,170.7,61.8,53.5,2337,2,0,111,1,3.31,3.23,8.5,78,4800,24,29,6785.0,6
45,1,0,0,0,2,1,0,94.5,155.9,63.6,52.0,1874,2,0,90,1,3.03,3.11,9.6,70,5400,38,43,8916.5,6
46,0,0,0,1,2,1,0,94.5,155.9,63.6,52.0,1909,2,0,90,1,3.03,3.11,9.6,70,5400,38,43,8916.5,6
47,2,0,0,0,1,0,0,96.0,172.6,65.2,51.4,2734,2,0,119,4,3.43,3.23,9.2,90,5000,24,29,11048.0,6
48,0,0,0,1,2,0,0,113.0,199.6,69.6,52.8,4066,0,1,258,0,3.63,4.17,8.1,176,4750,15,19,32250.0,7
49,0,0,0,1,2,0,0,113.0,199.6,69.6,52.8,4066,0,1,258,0,3.63,4.17,8.1,176,4750,15,19,35550.0,7
50,0,0,0,0,2,0,0,102.0,191.7,70.6,47.8,3950,1,4,326,0,3.54,2.76,11.5,262,5000,13,17,36000.0,7
